TrainNo,TrainName,TrainNumber,trainName,
12507,GUWAHATI EXP,'07710',PUSHKARAM SPL  ,
12508,GHY TVC EXPRESS,'07711',PUSHKARAM SPL  ,
12509,GUWAHATI EXP   ,'07712',PUSHKARAM SPL  ,
12510,GHY SBC EXPRESS,'07713',PUSHKARAM SPL  ,
12511,RAPTI SAGAR EXP,'07714',PUSHKARAM SPL  ,
12512,RAPTI SAGAR EXP,'07717',PUSHKARAM SPL  ,
12513,SC GHY EXP     ,'07718',PUSHKARAM SPL  ,
12514,SC GHY EXP     ,'07719',PUSHKARAM SPL  ,
12515,GUWAHATI EXP ,'07720',PUSHKARAM SPL  ,
12516,GHY TVC EXPRESS,'07723',PUSHKARAM SPL  ,
12517,GHY GARIB RATH,'07724',PUSHKARAM SPL  ,
12518,kol  GARIB RATH,'08010',PURI HWH SPECIA,
12519,LTT KYQ AC EXP ,'08243',BSP BGKTSPECIAL,
12520,KYQ LTT AC EXP ,'08244',BGKT BSP SPL   ,
12521,RAPTI SAGAR EXP,'08245',BSP BKN SPECIAL,
12522,RAPTI SAGAR EXP,'08246',BKN BSP SPL    ,
12523,NJP NDLS EXPRES,'08295',BSP PUNE SPL   ,
12524,NDLS NJP SF EXP,'08301',SBP YPR SPECIAL,
12525,KOAA DBRG EXP  ,'08302',YPR SBP EXP    ,
12526,DBRG KOAA EXP ,'08401',PURI SRC SPL   ,
12527,DBRG KOAA EXP ,'08402',SRC PURI  SPL  ,
12528,DBRG KOAA EXP ,'08449',BBS PNBE SPL   ,
12529,DBRG KOAA EXP ,'08450',PNBE BBS SPL   ,
12530,DBRG KOAA EXP ,'08501',VSKP SC SPL    ,
12531,DBRG KOAA EXP ,'08502',SC VSKP SPL    ,
12532,GKP INTERCITY,'08891',BSP SVDK SPL   ,
12533,PUSHPAK EXP,'08892',SVDK BSP SPL   ,
12138,PUSHPAK EXP,'09607',NDT UDZ SPL    ,
18238,PUSHPAK EXP,'09608',UDZ NDT SPL    ,
14095,HIMALYAN QUEEN,'09627',AII DEE SF SPL ,
14645,SHALIMAR EXP,'09628',DEE AII SF SPL ,
12002,BHOPAL SHTBDI,'09721',JP UDZ SF SPL  ,
12925,BHOPAL SHTBDI,'09722',UDZ JP SF SPL  ,
,,'09807',KOTA NZM SUP SP,
,,'09808',NZM KOTA SF SPL,
,,'10001',SATPURA EXPRESS,
,,'10002',SATPURA EXPRESS,
,,'10103',MANDOVI EXPRESS,
,,'10104',MANDOVI EXPRESS,
,,'10111',KONKAN KANYA EX,
,,'10112',KONKAN KANYA EX,
,,'10215',MADGAON ERS EXP,
,,'10216',MADGAON EXPRESS,
,,'11003',RAJYA RANI EXP ,
,,'11004',RAJYA RANI EXP ,
,,'11005',PUDUCHERRY EXP ,
,,'11006',CHALUKYA  EXP  ,
,,'11007',DECCAN EXPRESS ,
,,'11008',DECCAN EXPRESS ,
,,'11009',SINHAGAD EXP   ,
,,'11010',SINHAGAD EXP   ,
,,'11011',LTT NANDED EXP ,
,,'11012',NED LTT EXPRESS,
,,'11013',COIMBATORE EXP ,
,,'11014',LOKMANYA TT EXP,
,,'11015',KUSHINAGAR EXP ,
,,'11016',KUSHINAGAR EXP ,
,,'11017',LTT KARAIKAL EX,
,,'11018',KIK LTT EXPRESS,
,,'11019',KONARK EXPRESS ,
,,'11020',KONARK EXPRESS ,
,,'11021',TIRUNELVELI EXP,
,,'11022',CHALUKYA  EXP  ,
,,'11023',SAHYADRI EXPRES,
,,'11024',SAHYADRI EXP   ,
,,'11025',BSL PUNE EXP   ,
,,'11026',PUNE BSL EXP   ,
,,'11027',CHENNAI MAIL   ,
,,'11028',MUMBAI MAIL    ,
,,'11029',KOYNA EXPRESS  ,
,,'11030',KOYNA EXPRESS  ,
,,'11031',SUR BIJAPUR EXP,
,,'11032',BJP SUR EXP    ,
,,'11033',DARBHANGA EXP  ,
,,'11034',DBG PUNE EXP   ,
,,'11035',SHARAVATHI EXP ,
,,'11036',SHARAVATI  EXP ,
,,'11037',PA GORAKHPUR EX,
,,'11038',GKP PUNE EXPRES,
,,'11039',MAHARASHTRA EXP,
,,'11040',MAHARASHTRA EXP,
,,'11041',CSTM CHENNAI EX,
,,'11042',MUMBAI EXPRESS ,
