TrainNo,TrainName,Type,Distance,Region,Day,DelayInMin
12412,magadh express,1,1,1,4,202
12413,magadh express,1,1,1,5,199
12414,magadh express,1,1,1,6,229
12415,magadh express,1,1,1,7,266
12416,magadh express,1,1,1,1,150
12417,magadh express,1,1,1,2,175
12418,magadh express,1,1,1,3,131
12419,magadh express,1,1,1,4,211
12420,magadh express,1,1,1,5,221
12421,magadh express,1,1,1,6,299
12422,magadh express,1,1,1,7,281
12423,magadh express,1,1,1,1,200
12424,magadh express,1,1,1,2,209
12425,magadh express,1,1,1,3,220
12426,magadh express,1,1,1,4,164
12427,magadh express,1,1,1,5,149
12428,magadh express,1,1,1,6,162
12429,magadh express,1,1,1,7,151
12506,north east express,1,1,1,1,365
12507,north east express,1,1,1,2,320
12508,north east express,1,1,1,3,231
12509,north east express,1,1,1,4,266
12510,north east express,1,1,1,5,342
12511,north east express,1,1,1,6,411
12512,north east express,1,1,1,7,433
12513,north east express,1,1,1,1,332
12514,north east express,1,1,1,2,297
12515,north east express,1,1,1,3,319
12516,north east express,1,1,1,4,347
12517,north east express,1,1,1,5,397
12518,north east express,1,1,1,6,443
12519,north east express,1,1,1,7,446
12520,north east express,1,1,1,1,297
12521,north east express,1,1,1,2,255
12522,north east express,1,1,1,3,311
12523,north east express,1,1,1,4,375
12524,north east express,1,1,1,5,417
12525,north east express,1,1,1,6,432
12526,north east express,1,1,1,7,499
12527,north east express,1,1,1,1,430
12528,north east express,1,1,1,2,386
12529,north east express,1,1,1,3,333
12530,north east express,1,1,1,4,288
12531,north east express,1,1,1,5,377
12532,north east express,1,1,1,6,400
12533,north east express,1,1,1,7,440
12138,Punjab Mail,1,1,2,1,43
12138,Punjab Mail,1,1,2,2,10
12138,Punjab Mail,1,1,2,3,20
12138,Punjab Mail,1,1,2,4,5
12138,Punjab Mail,1,1,2,5,15
12138,Punjab Mail,1,1,2,6,19
12138,Punjab Mail,1,1,2,7,70
12138,Punjab Mail,1,1,2,1,47
12138,Punjab Mail,1,1,2,2,23
12138,Punjab Mail,1,1,2,3,18
12138,Punjab Mail,1,1,2,4,27
12138,Punjab Mail,1,1,2,5,19
12138,Punjab Mail,1,1,2,6,23
12138,Punjab Mail,1,1,2,7,50
12138,Punjab Mail,1,1,2,1,47
12138,Punjab Mail,1,1,2,2,28
12138,Punjab Mail,1,1,2,3,13
12138,Punjab Mail,1,1,2,4,28
12138,Punjab Mail,1,1,2,5,45
12138,Punjab Mail,1,1,2,6,20
12138,Punjab Mail,1,1,2,7,51
12138,Punjab Mail,1,1,2,1,33
12138,Punjab Mail,1,1,2,2,10
12138,Punjab Mail,1,1,2,3,25
12138,Punjab Mail,1,1,2,4,22
12138,Punjab Mail,1,1,2,5,18
12138,Punjab Mail,1,1,2,6,30
12138,Punjab Mail,1,1,2,7,44
12138,Punjab Mail,1,0,2,1,23
12138,Punjab Mail,1,0,2,2,5
12138,Punjab Mail,1,0,2,3,10
12138,Punjab Mail,1,0,2,4,5
12138,Punjab Mail,1,0,2,5,13
12138,Punjab Mail,1,0,2,6,9
12138,Punjab Mail,1,0,2,7,14
12138,Punjab Mail,1,0,2,1,16
12138,Punjab Mail,1,0,2,2,13
12138,Punjab Mail,1,0,2,3,8
12138,Punjab Mail,1,0,2,4,7
12138,Punjab Mail,1,0,2,5,9
12138,Punjab Mail,1,0,2,6,13
12138,Punjab Mail,1,0,2,7,20
12138,Punjab Mail,1,0,2,1,17
12138,Punjab Mail,1,0,2,2,14
12138,Punjab Mail,1,0,2,3,5
12138,Punjab Mail,1,0,2,4,16
12138,Punjab Mail,1,0,2,5,24
12138,Punjab Mail,1,0,2,6,11
12138,Punjab Mail,1,0,2,7,26
12138,Punjab Mail,1,0,2,1,20
12138,Punjab Mail,1,0,2,2,5
12138,Punjab Mail,1,0,2,3,12
12138,Punjab Mail,1,0,2,4,13
12138,Punjab Mail,1,0,2,5,11
12138,Punjab Mail,1,0,2,6,17
12138,Punjab Mail,1,0,2,7,24
18238,Chhatisgarh Express,1,1,2,1,40
