Train No,Train name,Type,Distance,Destination/path,Day of week,Delay(min)
,,,,,,
,,(0/1),(0/1),(1/2/3/4),(1/2/…/7)),
18238,Chhatisgarh Express,1,1,1,5,17
18238,Chhatisgarh Express,1,1,1,6,10
18238,Chhatisgarh Express,1,1,1,7,55
18238,Chhatisgarh Express,1,1,1,1,25
18238,Chhatisgarh Express,1,1,1,2,12
18238,Chhatisgarh Express,1,1,1,3,3
18238,Chhatisgarh Express,1,1,1,5,0
18238,Chhatisgarh Express,1,1,1,6,18
18238,Chhatisgarh Express,1,1,1,7,28
18238,Chhatisgarh Express,1,1,1,1,25
18238,Chhatisgarh Express,1,1,1,2,10
18238,Chhatisgarh Express,1,1,1,3,13
18238,Chhatisgarh Express,1,1,1,5,17
18238,Chhatisgarh Express,1,1,1,6,30
18238,Chhatisgarh Express,1,1,1,7,45
18238,Chhatisgarh Express,1,1,1,1,54
18238,Chhatisgarh Express,1,1,1,2,32
18238,Chhatisgarh Express,1,1,1,3,12
18238,Chhatisgarh Express,1,1,1,5,23
18238,Chhatisgarh Express,1,1,1,6,7
18238,Chhatisgarh Express,1,1,1,7,26
18238,Chhatisgarh Express,1,0,1,1,15
18238,Chhatisgarh Express,1,0,1,2,0
18238,Chhatisgarh Express,1,0,1,3,11
18238,Chhatisgarh Express,1,0,1,5,6
18238,Chhatisgarh Express,1,0,1,6,10
18238,Chhatisgarh Express,1,0,1,7,25
18238,Chhatisgarh Express,1,0,1,1,14
18238,Chhatisgarh Express,1,0,1,2,4
18238,Chhatisgarh Express,1,0,1,3,5
18238,Chhatisgarh Express,1,0,1,5,2
18238,Chhatisgarh Express,1,0,1,6,7
18238,Chhatisgarh Express,1,0,1,7,12
18238,Chhatisgarh Express,1,0,1,1,15
18238,Chhatisgarh Express,1,0,1,2,5
18238,Chhatisgarh Express,1,0,1,3,3
18238,Chhatisgarh Express,1,0,1,5,0
18238,Chhatisgarh Express,1,0,1,6,16
18238,Chhatisgarh Express,1,0,1,7,26
18238,Chhatisgarh Express,1,0,1,1,32
18238,Chhatisgarh Express,1,0,1,2,14
18238,Chhatisgarh Express,1,0,1,3,10
18238,Chhatisgarh Express,1,0,1,5,9
18238,Chhatisgarh Express,1,0,1,6,0
18238,Chhatisgarh Express,1,0,1,7,15
12002,Bhopal Shatabdi,0,1,1,1,6
12002,Bhopal Shatabdi,0,1,1,2,0
12002,Bhopal Shatabdi,0,1,1,3,10
12002,Bhopal Shatabdi,0,1,1,4,0
12002,Bhopal Shatabdi,0,1,1,5,15
12002,Bhopal Shatabdi,0,1,1,6,20
12002,Bhopal Shatabdi,0,1,1,7,60
12002,Bhopal Shatabdi,0,1,1,1,25
12002,Bhopal Shatabdi,0,1,1,2,7
12002,Bhopal Shatabdi,0,1,1,3,0
12002,Bhopal Shatabdi,0,1,1,4,13
12002,Bhopal Shatabdi,0,1,1,5,22
12002,Bhopal Shatabdi,0,1,1,6,8
12002,Bhopal Shatabdi,0,1,1,7,34
12002,Bhopal Shatabdi,0,1,1,1,27
12002,Bhopal Shatabdi,0,1,1,2,16
12002,Bhopal Shatabdi,0,1,1,3,8
12002,Bhopal Shatabdi,0,1,1,4,17
12002,Bhopal Shatabdi,0,1,1,5,15
12002,Bhopal Shatabdi,0,1,1,6,20
12002,Bhopal Shatabdi,0,1,1,7,38
12002,Bhopal Shatabdi,0,1,1,1,15
12002,Bhopal Shatabdi,0,1,1,2,10
12002,Bhopal Shatabdi,0,1,1,3,5
12002,Bhopal Shatabdi,0,1,1,4,23
12002,Bhopal Shatabdi,0,1,1,5,10
12002,Bhopal Shatabdi,0,1,1,6,19
12002,Bhopal Shatabdi,0,1,1,7,47
12002,Bhopal Shatabdi,0,0,1,1,5
12002,Bhopal Shatabdi,0,0,1,2,3
12002,Bhopal Shatabdi,0,0,1,3,0
12002,Bhopal Shatabdi,0,0,1,4,6
12002,Bhopal Shatabdi,0,0,1,5,10
12002,Bhopal Shatabdi,0,0,1,6,7
12002,Bhopal Shatabdi,0,0,1,7,35
12002,Bhopal Shatabdi,0,0,1,1,16
12002,Bhopal Shatabdi,0,0,1,2,3
12002,Bhopal Shatabdi,0,0,1,3,5
12002,Bhopal Shatabdi,0,0,1,4,8
12002,Bhopal Shatabdi,0,0,1,5,18
12002,Bhopal Shatabdi,0,0,1,6,0
12002,Bhopal Shatabdi,0,0,1,7,23
12002,Bhopal Shatabdi,0,0,1,1,21
12002,Bhopal Shatabdi,0,0,1,2,10
12002,Bhopal Shatabdi,0,0,1,3,9
12002,Bhopal Shatabdi,0,0,1,4,14
12002,Bhopal Shatabdi,0,0,1,5,2
12002,Bhopal Shatabdi,0,0,1,6,14
12002,Bhopal Shatabdi,0,0,1,7,25
12002,Bhopal Shatabdi,0,0,1,1,11
12002,Bhopal Shatabdi,0,0,1,2,16
12002,Bhopal Shatabdi,0,0,1,3,12
12002,Bhopal Shatabdi,0,0,1,4,15
12002,Bhopal Shatabdi,0,0,1,5,0
12002,Bhopal Shatabdi,0,0,1,6,14
12002,Bhopal Shatabdi,0,0,1,7,42
12011,Kalka shatabdi,0,0,3,1,7
12011,Kalka shatabdi,0,0,3,2,3
12011,Kalka shatabdi,0,0,3,3,13
12011,Kalka shatabdi,0,0,3,4,5
12011,Kalka shatabdi,0,0,3,5,5
12011,Kalka shatabdi,0,0,3,6,18
12011,Kalka shatabdi,0,0,3,7,14
12011,Kalka shatabdi,0,0,3,1,4
12011,Kalka shatabdi,0,0,3,2,4
12011,Kalka shatabdi,0,0,3,3,6
12011,Kalka shatabdi,0,0,3,4,3
12011,Kalka shatabdi,0,0,3,5,0
12011,Kalka shatabdi,0,0,3,6,7
12011,Kalka shatabdi,0,0,3,7,2
12011,Kalka shatabdi,0,0,3,1,2
12011,Kalka shatabdi,0,0,3,2,7
12011,Kalka shatabdi,0,0,3,3,4
12011,Kalka shatabdi,0,0,3,4,5
12011,Kalka shatabdi,0,0,3,5,5
12011,Kalka shatabdi,0,0,3,6,9
12011,Kalka shatabdi,0,0,3,7,7
14095,Himalyan Queen,1,0,3,1,8
14095,Himalyan Queen,1,0,3,2,10
14095,Himalyan Queen,1,0,3,3,5
14095,Himalyan Queen,1,0,3,4,5
14095,Himalyan Queen,1,0,3,5,2
14095,Himalyan Queen,1,0,3,6,4
14095,Himalyan Queen,1,0,3,7,8
14095,Himalyan Queen,1,0,3,1,3
14095,Himalyan Queen,1,0,3,2,7
14095,Himalyan Queen,1,0,3,3,5
14095,Himalyan Queen,1,0,3,4,4
14095,Himalyan Queen,1,0,3,5,0
14095,Himalyan Queen,1,0,3,6,0
14095,Himalyan Queen,1,0,3,7,3
14095,Himalyan Queen,1,0,3,1,5
14095,Himalyan Queen,1,0,3,2,7
14095,Himalyan Queen,1,0,3,3,8
14095,Himalyan Queen,1,0,3,4,3
14095,Himalyan Queen,1,0,3,5,0
14095,Himalyan Queen,1,0,3,6,10
14095,Himalyan Queen,1,0,3,7,13
12925,Pachim express,1,0,3,1,2
12925,Pachim express,1,0,3,2,7
12925,Pachim express,1,0,3,3,0
12925,Pachim express,1,0,3,4,3
12925,Pachim express,1,0,3,5,5
12925,Pachim express,1,0,3,6,25
12925,Pachim express,1,0,3,7,13
12925,Pachim express,1,0,3,1,2
12925,Pachim express,1,0,3,2,5
12925,Pachim express,1,0,3,3,6
12925,Pachim express,1,0,3,4,5
12925,Pachim express,1,0,3,5,5
12925,Pachim express,1,0,3,6,5
12925,Pachim express,1,0,3,7,12
12925,Pachim express,1,0,3,1,13
12925,Pachim express,1,0,3,2,23
12925,Pachim express,1,0,3,3,0
12925,Pachim express,1,0,3,4,21
12925,Pachim express,1,0,3,5,5
12925,Pachim express,1,0,3,6,20
12925,Pachim express,1,0,3,7,21
12445,Uttar S Kranti,0,1,3,1,16
12445,Uttar S Kranti,0,1,3,2,31
12445,Uttar S Kranti,0,1,3,3,0
12445,Uttar S Kranti,0,1,3,4,32
12445,Uttar S Kranti,0,1,3,5,13
12445,Uttar S Kranti,0,1,3,6,8
12445,Uttar S Kranti,0,1,3,7,26
12445,Uttar S Kranti,0,1,3,1,5
12445,Uttar S Kranti,0,1,3,2,0
12445,Uttar S Kranti,0,1,3,3,10
12445,Uttar S Kranti,0,1,3,4,8
12445,Uttar S Kranti,0,1,3,5,0
12445,Uttar S Kranti,0,1,3,6,5
12445,Uttar S Kranti,0,1,3,7,5
12445,Uttar S Kranti,0,1,3,1,0
12445,Uttar S Kranti,0,1,3,2,0
12445,Uttar S Kranti,0,1,3,3,10
12445,Uttar S Kranti,0,1,3,4,5
12445,Uttar S Kranti,0,1,3,5,0
12445,Uttar S Kranti,0,1,3,6,14
12445,Uttar S Kranti,0,1,3,7,19
18101,Tata Jat Express,1,1,3,1,105
